inst1_resp.keys,inst1_resp.rt,calibrationMouse.x,calibrationMouse.y,calibrationMouse.leftButton,calibrationMouse.midButton,calibrationMouse.rightButton,calibrationClick.x,calibrationClick.y,calibrationClick.leftButton,calibrationClick.midButton,calibrationClick.rightButton,calibrationQuality_x,calibrationQuality_y,calibrationPointCount,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Calibrate_X,Calibrate_Y,Duration,TargetSize,participant,session,date,expName,psychopyVersion,OS,frameRate,coordinatePlaneConstructed,coordinatePlane,coordinatePlaneStatus,coordinatePlaneDimensions,tracking_resp.keys,tracking_resp.rt,finalCalibrationAccuracy_x,finalCalibrationAccuracy_y,trackingTrialSummary
space,14.8918,0.008363608,-0.041650501,1,0,0,-0.231817861,0.008632548,0,0,0,0.208182139,0.668632548,1,0,0,0,7,1,-0.44,-0.66,1.5,0.05,0900,001,2025-03-12_17h28.58.986,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,
,,,,,,,0.445396268,0.442014673,0,0,0,0.106789204,0.33532361,2,0,1,1,40,1,0.44,0.44,1.5,0.05,0900,001,2025-03-12_17h28.58.986,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,
,,,,,,,-0.001909036,0.437429458,0,0,0,0.071829148,0.224405921,3,0,2,2,26,1,0,0.44,1.5,0.05,0900,001,2025-03-12_17h28.58.986,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,
,,,,,,,-0.234441133,0.374276947,0,0,0,0.057482144,0.184735204,4,0,3,3,19,1,-0.22,0.44,1.5,0.05,0900,001,2025-03-12_17h28.58.986,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,
,,,,,,,-0.453076503,0.443412281,0,0,0,0.048601016,0.148470619,5,0,4,4,12,1,-0.44,0.44,1.5,0.05,0900,001,2025-03-12_17h28.58.986,extended_session_experiment,2021.2.3,MacIntel,59.88023952,TRUE,"{""initialized"":true,""topLeft"":{""x"":-0.44,""y"":0.44},""topRight"":{""x"":0.44,""y"":0.44},""bottomLeft"":{""x"":-0.44,""y"":-0.66},""bottomRight"":{""x"":0.44,""y"":-0.66},""centerPoint"":{""x"":-0.132,""y"":0.21999999999999997},""width"":0.88,""height"":1.1}",,,,,,,
,,,,,,,-0.469464235,0.057773702,0,0,0,0.072256807,0.224096566,6,0,5,5,6,1,-0.66,0.66,1.5,0.05,0900,001,2025-03-12_17h28.58.986,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,
,,,,,,,0.036095337,-0.164834051,0,0,0,0.067090883,0.199963621,7,0,6,6,23,1,0,-0.22,1.5,0.05,0900,001,2025-03-12_17h28.58.986,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,
,,,,,,,0.258786858,-0.037894152,0,0,0,0.081356165,0.234704937,8,0,7,7,36,1,0.44,0.44,1.5,0.05,0900,001,2025-03-12_17h28.58.986,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,
,,,,,,,-0.755030509,0.06048956,0,0,0,0.15620887,0.288681006,9,0,8,8,21,1,0,-0.66,1.5,0.05,0900,001,2025-03-12_17h28.58.986,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,
,,,,,,,-0.755030509,0.06048956,0,0,0,0.238091034,0.265861862,10,0,9,9,31,1,0.22,0,1.5,0.05,0900,001,2025-03-12_17h28.58.986,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,
,,,,,,,-0.755030509,0.06048956,0,0,0,0.325085532,0.247191652,11,0,10,10,38,1,0.44,0,1.5,0.05,0900,001,2025-03-12_17h28.58.986,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,
,,,,,,,-0.36328125,-0.028009488,0,0,0,0.3043883,0.260924891,12,0,11,11,8,1,-0.44,-0.44,1.5,0.05,0900,001,2025-03-12_17h28.58.986,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,
,,,,,,,-0.354564934,0.498668524,0,0,0,0.287545744,0.279212862,13,0,12,12,10,1,-0.44,0,1.5,0.05,0900,001,2025-03-12_17h28.58.986,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,
,,,,,,,-0.354564934,0.498668524,0,0,0,0.3237614,0.279173981,14,0,13,13,39,1,0.44,0.22,1.5,0.05,0900,001,2025-03-12_17h28.58.986,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,
,,,,,,,-0.354564934,0.498668524,0,0,0,0.369814969,0.323140284,15,0,14,14,43,1,0.66,-0.44,1.5,0.05,0900,001,2025-03-12_17h28.58.986,extended_session_experiment,2021.2.3,MacIntel,59.88023952,,,,,,,,,
